Type,Maker,Name,Release date,Android version,Resolution,Display (inches),Display (mm),System on Chip,RAM (MiB),Internal storage (GiB),MicroSD slot,Rear camera (Mpx),Front camera (Mpx),Networks,Connectivity,"Special features,
notes"
Smartphone,Motorola,Charm,8/1/10,2.1,320x240 QVGA,2.8 in ,71 mm,MSM7201A,,,,,,,,First Motorola Android phone with the updated Motoblur UI
Smartphone,Motorola,"Quench,
Cliq XT,
Motorola MB501",3/17/10,1.5,,,,OMAP 3 OMAP3622,,,,,,,,"Spinoff of Motorola Cliq, without a physical keyboard[7]"
Smartphone,Motorola,"Droid, Milestone",11/6/09,2.0-2.2[9],854x480 FWVGA,3.7 in ,94 mm,OMAP 3 OMAP3430,256,,,5,,,,
Smartphone,Motorola,"Droid X, Motoroi X, Milestone X",7/15/10,2.1-2.3,854x480 FWVGA,4.3 in ,110 mm,OMAP 3 OMAP3630,512,8,Yes,8,,CDMA EVDO Rev. A 800 1900,"802.11b/g/n, Stereo Bluetooth v2.1 + EDR with A2DP and AVRCP, FM tuner, 
3.5 mm TRRS audio jack, USB 2.0 HS, OTA, HDMI, over the air sync, PC sync, 
DLNA",
Smartphone,Motorola,Motorola Droid X2,6/19/11,2.2-2.3,960x540 qHD,4.3 in ,110 mm,Tegra 2 250 AP20H,512,8,Yes,8,,"CDMA 1X 800 1900, EVDO Rev. A","3.5 mm TRRS, Bluetooth v2.1 + EDR with A2DP & AVRCP, DLNA, Micro HDMI (Type 
D), Micro USB 2.0, Wi-Fi 802.11b/g/n",
Smartphone,Motorola,"Droid 2,
Milestone 2,[10] Droid 2 Global",8/12/10,2.2-2.3,854x480 FWVGA,3.7 in ,94 mm,"OMAP 3 OMAP3622, OMAP 3 OMAP3640",512,8,Yes,5,,,,
Smartphone,Motorola,"Motorola Droid 3,
Milestone 3[11]",7/14/11,2.3,960x540 qHD,4.0 in ,100 mm,OMAP 4 OMAP4430,512,16,Yes,8,0.3,"*DROID 3*: CDMA2000, EV-DO Rev. A, GSM, UMTS, WCDMA *Milestone 3*: quad-band 
GSM, UMTS","3.5 mm TRRS, Bluetooth v2.1 + EDR, Wi-Fi (802.11 b/g/n), Micro USB 2.0, 
Micro HDMI, DLNA, WLAN",
Smartphone,Motorola,"Droid Pro, Milestone Plus",11/18/10,2.2-2.3,480x320 HVGA,3.1 in ,79 mm,OMAP 3 OMAP3622,,,,5,,Dual-mode CDMA2000/â€‹GSM chip for worldwide roaming,,
Smartphone,Motorola,Motorola i1,1/1/10,1.5,320x240 QVGA,3.1 in ,79 mm,,,,,,,iDEN 800 MHz,,
Smartphone,Motorola,"Backflip,
Motorola MB300",3/7/10,1.5 (2.1 released 9 November 2010 as a download to computer),480x320 HVGA,3.1 in ,79 mm,MSM7201A,,,,,,,,AT&T's first smartphone running Android.[14][15]
Smartphone,Motorola,"Backflip,
Motorola ME600",3/1/10,1.5 with Motoblur,480x320 HVGA,3.1 in ,79 mm,MSM7201A,,,,,,,,Taiwan version has Chinese physical keyboard.
Smartphone,Motorola,Devour,3/25/10,1.6 with Motoblur,480x320 HVGA,3.1 in ,79 mm,Snapdragon S1 MSM7627,,,,,,,,Formerly the Calgary.
Smartphone,Motorola,Milestone XT701,5/11/10,2.1,854x480 FWVGA,3.7 in ,94 mm,,,,,,,,,
Smartphone,Motorola,"XT720, Motoroi",2/1/10,2.1,,,,OMAP 3 OMAP3440,,,,8,,,"HDMI, FM tuner, T-DMB",Available only in Korea
Smartphone,Motorola,XT800,3/1/10,2,,,,,,,,,,,,[16]
Smartphone,Motorola,"Cliq,
DEXT",10/7/09,1.5 with Motoblur (2.1 in the US),480x320 HVGA,3.1 in ,79 mm,MSM7201A,,,,,,,,[19][20]
Smartphone,Motorola,Motorola Defy,9/1/10,2.1 can upgrade to 2.2,854x480 FWVGA,3.7 in ,94 mm,OMAP 3 OMAP3630,512,2,Yes,5,,GSM 850 / 900 / 1800 / 1900 HSDPA 900 / 2100,,"Dust and water resistant, Gorilla Glass cover."
Smartphone,Motorola,Motorola Flipout,9/1/10,2.1,320x240 QVGA,2.8 in ,71 mm,OMAP 3 OMAP3410,,,,,,,,
Smartphone,Motorola,Droid Bionic,9/8/11,2.3 (can upgrade to 4.0 in Q1 2012),960x540 qHD,4.3 in ,110 mm,OMAP 4 OMAP4430,1024,16,Yes,8,0.3,"CDMA 800 1900 MHz EVDO Rev. A, 700 MHz 4G LTE",,Feature webtop and laptop dock integration
Smartphone,Motorola,Motorola Admiral,10/1/11,2.3,640x480 VGA,3.1 in ,79 mm,Snapdragon S2 MSM8655,512,4,Yes,5,,CDMA 800 1900,"3.5 mm TRRS, Bluetooth v2.1 + EDR, Wi-Fi (802.11 
b/g/n), Micro USB 2.0, DLNA, WLAN","Sprint CDMA Direct Connect push-to-talk, MIL-STD-810 certified for dust, 
shock, vibration, temperature resistance"
Smartphone,Motorola,Droid 4[21],2/12/12,2.3.6-4.0[22],960x540 qHD,4.0 in ,100 mm,OMAP 4 OMAP4430,1024,8,Yes,8,1.3,"CDMA2000 800 1900 MHz, 4G LTE B13, Wi-Fi 802.11 b/g/n","Micro-USB 2.0, HDMI Micro, DLNA, GPS (aGPS, eCompass, sGPS, GLONASS), 
Bluetooth, 4G",
Smartphone,Motorola,Droid RAZR (XT910),11/11/11,"2.3, upgradeable to 4.0",960x540 qHD,4.3 in ,110 mm,OMAP 4 OMAP4430,1024,16,Yes,8,1.3,"2G: GSM 850, 900, 1800, 1900 MHz; CDMA 800/1900 MHz; 3G: HSDPA 850, 900, 
1900, 2100 MHz; CDMA2000 1xEV-DO; LTE","Wi-Fi 802.11 b/g/n, DLNA, Wi-Fi hotspot, Bluetooth, A-GPS, HDMI support","Super AMOLED capacitive touchscreen, Gorilla Glass, Feature webtop and 
laptop dock integration, heat sensor, HDMI mirror mode"
Smartphone,Motorola,Droid RAZR MAXX,5/1/12,"2.3, upgradeable to 4.0",960x540 qHD,4.3 in ,110 mm,OMAP 4 OMAP4430,1024,16,Yes,8,1.3,"2G network, GSM 850 900 1800 1900 or CDMA 800 1900, 3G HSDPA 850 900 1900 
2100 or CDMA2000 1xEV-DO /LTE","Wi-Fi 802.11 b/g/n, DLNA, Wi-Fi hotspot, Bluetooth v4.0 with A2DP and EDR + 
LE, A-GPS, HDMI support","Super AMOLED capacitive touchscreen, Gorilla Glass, Feature webtop and 
laptop dock integration, heat sensor, HDMI mirror mode, 3300mAh battery"
Smartphone,Motorola,Droid RAZR I,10/1/12,4.0 with MOTOBLUR UI,960x540 qHD,4.3 in ,110 mm,Atom Z2460,1024,8,Yes,8,0.3,,"Wi-Fi 802.11 b/g/n, DLNA, Wi-Fi hotspot, Bluetooth v4.0 with A2DP and EDR, 
A-GPS","Super AMOLED capacitive touchscreen, Gorilla Glass"
Smartphone,Motorola,Droid RAZR HD,10/1/12,4.1 with MOTOBLUR UI,1280x720 HD,4.7 in ,120 mm,Snapdragon S4 Plus MSM8960,1024,16,Yes,8,1.3,,"Wi-Fi 802.11 b/g/n, DLNA, Wi-Fi hotspot, Wi-Fi Direct, Bluetooth v4.0 with 
A2DP and EDR, A-GPS, HDMI support","Super AMOLED Advanced, Gorilla Glass protection"
Smartphone,Motorola,Moto X,8/1/13,"4.2.2 Jelly Bean, Upgradeable to 4.4",1280x720 HD,4.7 in ,120 mm,Snapdragon S4 Pro,2048,16 or 32 GB,No,10.5,2.1,GSM Quadband: 850 / 900 / 1800 / 1900 ; UMTS - 2100,"Wi-Fi 802.11 a/b/g/n/ac (2.4/5 GHz), NFC, Bluetooth: 4.0, MHL 2.0, NFC, GPS","Contextual Awareness, Customized on-line through Moto Maker"
Smartphone,Panasonic,Eluga,4/1/12,"2.3, planned upgrade to 4.0",960x540 qHD,4.3 in ,110 mm,OMAP 4 OMAP4430,1024,8,,8,,"GSM Quadband: 850, 900, 1800 1900 MHz UMTS Dualband: 900/2100 MHz;","Bluetooth; Bluetooth Profiles: A2DP, AVRCP, BIP, BPP, DUN, HFP, HID, HSP, 
OBEX, OPP, SPP; Wi-Fi; Wi-Fi Hotspot",16M color support
Smartphone,Panasonic,Eluga Power,5/1/12,4,1280x720 HD,5.0 in ,130 mm,Snapdragon S4 Plus MSM8960,1024,8,Yes,8,,"Quad-band GSM: 850, 900, 1800 1900 MHz;
Dual-band UMTS: 900/2100 MHz;","Wi-Fi 802.11 b/g/n with DLNA, Bluetooth 3.0 with A2DP and EDR, 3.5 mm audio 
jack, NFC, USB 2.0",
Smartphone,Samsung,Sidekick 4G[23],4/1/11,2.2,800x480 WVGA,,,1 GHz Cortex A8 Hummingbird,,1,Yes,3,1.3,"Quad-band GSM: 850, 900, 1800 1900 MHz; Dual-band UMTS: 1700/â€‹2100 MHz; 
HSPA+ CAT 14/HSUPA CAT6","Bluetooth; Bluetooth profiles: A2DP, AVRCP, BIP, BPP, DUN, HFP, HID, HSP, 
OBEX, OPP, SPP; Wi-Fi; Wi-Fi Hotspot","low reflection TFT, camcorder, TV out"
Smartphone,Samsung,Galaxy Y Pro (GT-B5510),10/1/11,2.3,320x240 QVGA,2.6 in ,66 mm,BCM21553,256,0.19,Yes,2,,"GSM 850 900, 1800 1900, HSDPA 900/2100","Wi-Fi 802.11 b/g/n, Bluetooth v3.0 with A2DP",
Smartphone,Samsung,Galaxy Y (GT-S5360),10/1/11,2.3,320x240 QVGA,3.0 in ,76 mm,BCM21553,290,0.19,Yes,2,,"GSM 850 900, 1800 1900; HSDPA 900/2100","Wi-Fi 802.11 b/g/n, Bluetooth v3.0 with A2DP",
Smartphone,Samsung,Admire/â€‹Vitality (SCH-R720),8/1/11,2.3,480x320 HVGA,3.5 in ,89 mm,800 MHz,256,0.19,Yes,3,,CDMA/EV-DO Rev.0 800/â€‹1700/â€‹1900 MHz,"Wi-Fi 802.11 b/g/n, Bluetooth v3.0 with A2DP","name can vary by carrier: Admire (MetroPCS), Vitality (Cricket Wireless)"
Smartphone,Samsung,"Behold II 
(SGH-T939)",11/18/09,1.6 with Touchwiz,480x320 HVGA,3.2 in ,81 mm,,,0.2,Yes,,,"GSM 850 900, 1800 1900, UMTS 900 1700 2100","Bluetooth 2.1, Wi-Fi and Wi-Fi radio, GPS","AMOLED,[24][25]"
Smartphone,Samsung,Galaxy Pro (GT-B7510),4/1/11,2.2,480x320 HVGA,2.8 in ,71 mm,800 MHz,,0.5,,3,,"GSM 850 900, 1800 1900, HSDPA 900/2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot capable, Bluetooth v3.0 with A2DP",
Smartphone,Samsung,Galaxy (i7500),6/1/09,1.6,480x320 HVGA,3.2 in ,81 mm,MSM7200A,,,,,,,,"AMOLED, i7500L is released in Canada as a slight difference from i7500 from 
Europe and is in Android 1.5; first Samsung Android device"
Smartphone,Samsung,"Moment 
(SPH-M900)",11/1/09,"1.5, 2.1",480x320 HVGA,3.2 in ,81 mm,S3C6410,256,0.5,,3.2,,,"Bluetooth 2.1, Wi-Fi 802.11b/g",
Smartphone,Samsung,Galaxy 5/â€‹Galaxy Europa/â€‹Galaxy 550/â€‹Corby Android (i5500/â€‹i5503),6/15/10,"2.1, 2.2",320x240 QVGA,2.8 in ,71 mm,Snapdragon S1 MSM7227,256,0.5,Yes,2,,"- GSM/â€‹GPRS/â€‹EDGE 850/â€‹900/â€‹1800/â€‹1900 MHz
   - HSDPA 850/â€‹900/â€‹1900/â€‹2100 MHz up to 7.2 Mbit/s","Wi-Fi 802.11b/g/n with DLNA, Bluetooth 2.1 with A2DP, A-GPS, Micro-USB 2.0, 
3.5 mm TRRS audio jack, FM radio with RDS","Also named: Samsung Galaxy 5, Samsung Galaxy Europa, Samsung Galaxy 550, 
Samsung i5503, Samsung Corby Android"
Smartphone,Samsung,"Spica/â€‹Galaxy Spica/â€‹Galaxy Portal 
(i5700)[26]",10/1/09,"1.6, 2.1[27]",480x320 HVGA,3.2 in ,81 mm,S3C6410,256,,,3.2,,"GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz; CSD, UMTS, HSDPA","Bluetooth 2.0 + EDR, Wi-Fi (802.11b/g)",
Smartphone,Samsung,"Galaxy 3/â€‹Galaxy Apollo/â€‹Galaxy Mini/â€‹Galaxy 580 
(i5800)",7/1/10,2.1 (upgradeable to 2.3.6 Gingerbread),400x240 WQVGA,3.2 in ,81 mm,S5P6422,256,,,3.2,,,,TFT
Smartphone,Samsung,Droid Charge/â€‹Galaxy S Aviator/â€‹Galaxy S Lightray 4G,5/14/11,2.2 with TouchWiz UI,,4.3 in ,110 mm,Exynos 3 Single,512,2,,8,,"- Dual band CDMA2000
   - EV-DO Rev. A
   - 800 1900 MHz
   - LTE 750 MHz","Wi-Fi (802.11b/g/n); Bluetooth 3.0; USB 2.0, DLNA","multi-touch, Super AMOLED Plus"
Smartphone,Samsung,"Galaxy Fit 
(S5670)",3/1/11,2.2 with TouchWiz v3.0 UI,320x240 QVGA,3.3 inches ,84 mm,Snapdragon S1 MSM7227,280,0.18,,5,,"GSM 850 900 1800 1900, 3G Network HSDPA 900 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v2.1 with A2DP","Geo-tagging, smile detection"
Smartphone,Samsung,"Infuse 4G 
(SGH-i997)",5/15/11,2.2 with TouchWiz UI,,4.5 in ,110 mm,Exynos 3 Single,512,16,Yes,8,1.3,- HSPA+,"Wi-Fi (802.11b/g/n); Bluetooth 3.0; USB 2.0, DLNA","Super AMOLED Plus, Geo-tagging"
Smartphone,Samsung,"Google Nexus S
(i9020/â€‹i9023/â€‹SPH-D720/â€‹SHW-M200)",12/16/10,"2.3, upgradeable to 4.1[28]",800x480 WVGA,4.0 in ,100 mm,Exynos 3 Single,512,16,,5,0.3,"Quad-band GSM 850 900, 1800 1900 (voice); Tri-band HSPA 900 1700 2100 
(7.2 Mbit/s HSDPA, 5.76 Mbit/s HSUPA) (3G)","802.11b/g/n Wi-Fi, Bluetooth 2.1 +EDR, NFC, Micro-USB 2.0","Super AMOLED,[29] First phone to ship with Android 2.3 Gingerbread"
Smartphone,Samsung,Samsung Acclaim,7/9/10,2.1,480x320 HVGA,3.2 in ,81 mm,,,,,,,,,
Smartphone,Samsung,"M910 Intercept,
Samsung Moment II",7/11/10,2.2,400x240 WQVGA,3.0 in ,76 mm,S3C6410,256,0.5,,3.2,,,"Bluetooth 2.1, Wi-Fi (802.11 b/g)","TFT, Small modifications to stock Android UI"
Smartphone,Samsung,Samsung Transform,10/10/10,"2.1 with Sprint ID UI, update to 2.2",480x320 HVGA,3.5 in ,89 mm,S3C6410,256,0.5,,3.2,,,Bluetooth 3.0,"3.5 mm TRRS headset jack, compatible with standard TRS headphones for audio 
only"
Smartphone,Samsung,Samsung Replenish,1/1/11,2.2,320x240 QVGA,2.8 in ,71 mm,MSM76272,,,,2,,CDMA/DBTM 1900 MHz,"Bluetooth Profiles: A2DP, AVRCP, GAVDP, GOEP, HFP 1.5, HSP, OPP, PBAP, 
SDAP/SDP; Wi-Fi hotspot; HTML browser; Flash; Java; GPS",
Smartphone,Samsung,Galaxy A,4/29/10,2.1,480x320 HVGA,3.2 in ,81 mm,OMAP 3 OMAP3430,,,,5,,,"T-DMB, Bluetooth, 802.11n Wi-Fi, and video calling",To be available only in South Korea[30]
Smartphone,Samsung,Galaxy Mini,1/1/11,2.2,320x240 QVGA,3.14 in ,80 mm,Snapdragon S1 MSM7227,384,0.16,Yes,3.15,,"GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz; HSDPA 900/2100 MHz at 7.2 Mbit/s","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v2.1 with A2DP",
Smartphone,Samsung,Galaxy Mini 2,3/1/12,"2.3, upgradeable to 4.1",480x320 HVGA,3.27 in ,83 mm,Snapdragon S1 MSM7227A,512,4,Yes,3.15,,GSM/â€‹GPRS/â€‹EDGE 850/â€‹900/â€‹1800/â€‹1900 MHz; HSDPA 900/2100 MHz at 7.2 Mbit/s,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v3.0 with A2DP",
Smartphone,Samsung,Galaxy Ace,2/1/11,"2.2 with Touchwiz 3.0, upgradeable to 2.3",480x320 HVGA,3.5 in ,89 mm,Snapdragon S1 MSM7227,512,0.25,Yes,5,,"2G: GSM 850 900, 1800 1900 MHz; 3G: HSDPA 900/2100 MHz (7.2 Mbit/s)","Wi-Fi 802.11b/g/n; Bluetooth 2.1 with A2DP; Micro-USB 2.0, DLNA, FM tuner",
Smartphone,Samsung,Galaxy Ace Plus,2/1/12,"2.3 with TouchWiz 3.0/4.0, upgradeable to 4.1",480x320 HVGA,3.65 in ,93 mm,Snapdragon S1 MSM7227A,512,3,Yes,5,,"2G: GSM 850 900, 1800 1900 MHz; 3G: HSDPA 900/2100 MHz (7.2 Mbit/s)","Wi-Fi 802.11b/g/n; Wi-Fi hotspot; Bluetooth 3.0 with A2DP; Micro-USB 2.0, 
DLNA, FM tuner",
Smartphone,Samsung,Galaxy Ace 2,5/1/12,"2.3 with Touchwiz 4.0, upgradeable to 4.1.2",800x480 WVGA,3.8 in ,97 mm,NovaThor U8500,768,4,Yes,5,,"GSM 850 900, 1800 1900; HSDPA 900/2100 3G (14.4 Mbit/s)","Wi-Fi 802.11b/g/n, Wi-Fi hot-spot; Bluetooth 3.0 High-Speed with A2DP; 
Micro-USB 2.0, DLNA, FM tuner",
Smartphone,Samsung,i8150,4/1/11,"2.3.6 with Touchwiz 4.0, upgradeable to Android 4.1.2 (Jelly Bean) 
(Unofficial android upgrade via CyanogenMod 10, available from XDA dev site[
31])",800x480 WVGA,3.7 in ,94 mm,Snapdragon S2 MSM8255,512,4,Yes,5,0.3,"2G: GSM/GPRS 850/â€‹900/â€‹1800/â€‹1900 MHz 3G: UMTS/HSDPA 
850/â€‹900/â€‹1900/â€‹2100 MHz","3.5 mm TRRS; Wi-Fi 802.11a/b/g/n; Wi-Fi Direct; Bluetooth 3.0; Micro USB 
2.0; DLNA, GPS;","T-Mobile USA's variant of the Galaxy W is the Samsung Exhibit II 4G 
SGH-T679.[32][33] But it has a few hardware differences."
Smartphone,Samsung,"GT-B5330, Galaxy Chat",9/1/12,"4.0 with TouchWiz Nature UX UI, upgradeable to 4.1.2",320x240 QVGA,3 in ,76 mm,800 MHz,512,2,Yes,2,,"GSM 850 900, 1800 1900; HSDPA 900/2100 3G (14.4 Mbit/s)","Wi-Fi 802.11b/g/n, Wi-Fi hotspot; Bluetooth 3.0 with A2DP; Micro-USB 2.0",
Smartphone,Samsung,Galaxy Nexus,11/1/11,"4.0, upgradeable to 4.3",1280x720 HD,4.65 in ,118 mm,OMAP 4 OMAP4460,1024,16 or 32,,5,1.3,"Quadband GSM: 850/900, 1800/â€‹1900 MHz
Pentaband UMTS: 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz;
HSPA+ CAT 14/â€‹HSUPA CAT 6; LTE: 700 (CAT 13)","Wi-Fi 802.11 a/b/g/n, Bluetooth v3.0 with A2DP, MHL through Micro-USB 2.0","Super AMOLED PenTile[34] curved glass display, First Android 4.0 phone"
Smartphone,Samsung,"S7562 Galaxy S Duos
(Dual-SIM Card)",9/1/12,4.0 with TouchWiz Nature UX UI,800x480 WVGA,4.0 in ,100 mm,Snapdragon S1 MSM7227A,768,4,Yes,5,,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v3.0 with A2DP, USB 2.0, A-GPS",TFT LCD
Smartphone,Samsung,"i9000 Galaxy S,
AT&T Captivate,
T-Mobile Vibrant,
Verizon Fascinate,
US Cellular Mesmerize,
Sprint Epic 4G",6/15/10,"2.1 with Touchwiz 3.0, 2.3 with updates",800x480 WVGA,4.0 in ,100 mm,Exynos 3 Single,512,8 or 16,,,,"Dual-band CDMA2000/â€‹Ev-DO Rev. A 800/1900 MHz, 
WiMAX 2.5 to 2.7 GHz;
2.5G: GSM/â€‹GPRS/â€‹EDGE 802.16e: 850/900, 1800/â€‹1900 MHz;
3G: HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s: 900/â€‹1900/â€‹2100 MHz",Wi-Fi 802.11b/g/n; Bluetooth 3.0,"Super AMOLED,[35][36]
Exclusive USA versions vary (such as camera, flash, internal memory) 
depending on carrier[37]"
Smartphone,Samsung,i9001 Galaxy S Plus,7/1/11,2.3 with TouchWiz UI,800x480 WVGA,4.0 in ,100 mm,Snapdragon S2 MSM8255,512,8,Yes,5,#NAME?,"- GSM/â€‹GPRS/â€‹EDGE: 850, 900, 1800, 1900 MHz
   - UMTS: 850, 900, 1900, and 2100 MHz
   - HSPA+: 14.4 Mbit/s; HSUPA: 5.76 Mbit/s","3.5 mm audio jack, Wi-Fi 802.11 a/b/g/n, Bluetooth v3.0, Micro-USB v2.0",Super AMOLED multi-touch capacitive touchscreen
Smartphone,Samsung,i9070 Galaxy S Advance,4/1/12,"2.3 with TouchWiz UI 4.0, upgradeable to 4.1",800x480 WVGA,4.0 in ,100 mm,NovaThor U8500,768,8 or 16,Yes,5,1.3,"- GSM/â€‹GPRS/â€‹EDGE: 850, 900, 1800, 1900 MHz
   - UMTS: 850, 900, 1900, and 2100 MHz
   - HSPA+: 14.4 Mbit/s; HSUPA: 5.76 Mbit/s","3.5 mm audio jack, Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, DLNA, Bluetooth 
v3.0+HS (high speed) up to 21 MBps, Micro-USB v2.0, near field communication(NFC)",Super AMOLED multi-touch capacitive touchscreen
Smartphone,Samsung,i9100 Galaxy S II,5/1/11,"2.3 with TouchWiz UI 4.0, upgradeable to 4.1.2/4.2.2 
(update in the near future)",800x480 WVGA,4.27 in ,108 mm,Exynos 4 Dual 45 nm,1024,16 or 32,Yes,8,2,"- GSM/â€‹GPRS/â€‹EDGE: 850, 900, 1800, 1900 MHz
   - UMTS: 850, 900, 1900, and 2100 MHz
   - HSPA+: 21 Mbit/s; HSUPA: 5.76 Mbit/s","3.5 mm audio jack, Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, DLNA, Wi-Fi Direct, 
Bluetooth v3.0+HS (high speed) up to 21 MBps, Micro-USB v2.0, near field 
communication (NFC), HDMI support, USB OTG support","Super AMOLED Plus multi-touch capacitive touchscreen, 4G connectivity 
support (regional). Galaxy S2 HD adds LTE support and upgraded video"
Smartphone,Samsung,"i9300 Galaxy S III 
*i9305 Galaxy S III*
*(with LTE)*",5/1/12,"Non-LTE variant:
4.0 with TouchWiz Nature UX UI, upgradeable to 4.1.2 (February 2013) and 
4.3 (October 2013) LTE variant:
4.1.1/4.1.2 with TouchWiz Nature UX UI, upgradeable to 4.3 (October 2013)",1280x720 HD,4.8 in ,120 mm,Exynos 4 Quad,"1024 (non-LTE)
*2048*
*(LTE)*",16 or 32,Yes,8,1.9,,"3.5 mm audio jack, Wi-Fi 802.11a/b/g/n, WiFi hotspot, Wi-Fi Direct, DLNA, 
Bluetooth v4.0 HS up to 21 MBps, Micro-USB v2.0, USB OTG, NFC, HDMI","Super AMOLED multi-touch capacitive touchscreen, 4G connectivity support 
(regional), S Voice"
Smartphone,Samsung,i9505 Galaxy S4 (with LTE),4/1/13,"4.2.2 with TouchWiz Nature UX 2.0 UI, upgradeable to Android 4.3 (October 
2013)",Full HD 1920x1080,4.99 in ,127 mm,Exynos 5 Octa,2048,"16, 32 or 64 GB","Yes, microSD up to 64 GB",13,2,,"3.5 mm audio jack, Wi-Fi 802.11a/b/g/n/ac, WiFi hotspot, Wi-Fi Direct, 
DLNA, Bluetooth v4.0+HS up to 21 Mbit/s, Micro-USB v2.0, USB OTG, NFC, HDMI","Super AMOLED multi-touch capacitive touchscreen, 4G connectivity support 
(I9505 model), S Voice"
Smartphone,Samsung,N7000 Galaxy Note,11/1/11,"2.3 with TouchWiz UI 4.0, upgradeable to 4.0/4.1.2",1280x800 WXGA,5.3 in ,130 mm,Exynos 4 Dual 45 nm,1024,16 or 32,Yes,8,2,,"3.5 mm audio jack, Wifi 802.11a/b/g/n, Bluetooth v3.0+HS up to 21 Mbit/s, 
Micro-USB v2.0, USB OTG, NFC, HDMI","Super AMOLED multi-touch capacitive touchscreen, 4G connectivity support 
(only available in the USA), S Pen"
Smartphone,Samsung,N7100 Galaxy Note II,9/1/12,4.1.2 with TouchWiz Nature UX UI,1280x720 HD,5.5 in ,140 mm,Exynos 4 Quad,2048,16 or 32,Yes,8,1.9,,"3.5 mm audio jack, Wi-Fi 802.11a/b/g/n, WiFi hotspot, Wi-Fi Direct, DLNA, 
Bluetooth v4.0+HS up to 21 Mbit/s, Micro-USB v2.0, USB OTG, NFC, HDMI","Super AMOLED non-PenTile (RGB), Gorilla Glass 2, optional 4G connectivity, S 
Pen"
Smartphone,Samsung,Galaxy Note 3,9/1/13,4.3 with TouchWiz,1920x1080,5.7 in ,140 mm,Exynos 5 Octa 5420,3072,32 or 64,Yes,13,2,,"Wi-Fi 802.11a/b/g/n/ac, DLNA, Bluetooth 4.0, NFC, ...",Full HD Super AMOLED
Smartphone,Samsung,Galaxy S III mini,11/1/12,4.1.2 with TouchWiz Nature UX UI,800x480 WVGA,4 in ,100 mm,NovaThor U8420,1024,8 or 16,Yes,5,0.3,,"3.5 mm audio jack, Wi-Fi 802.11â€‹a/b/g/n, WiFi hotspot, Wi-Fi Direct, DLNA, 
Bluetooth v4.0+HS up to 21 Mbit/s, Micro-USB v2.0","Super AMOLED multi-touch capacitive touchscreen, S Voice"
Smartphone,Samsung,Galaxy S4 mini,7/1/13,4.2.2 with TouchWiz Nature UX 2.0 UI,960x540 qHD,4.3 in ,110 mm,Qualcomm Snapdragon 400,1536,8,Yes,8,1.9,,"3.5 mm audio jack, Wi-Fi 802.11a/b/g/n, WiFi hotspot, Wi-Fi Direct, DLNA, 
Bluetooth v4.0+HS up to 21 Mbit/s, Micro-USB v2.0, NFC (only on I9195)","Super AMOLED multi-touch capacitive touchscreen, 4G connectivity (I9195 
model), S Voice"
Smartphone,Samsung,Galaxy Express,11/1/12,4.1.2 with TouchWiz Nature UX UI,800x480 WVGA,4.5 in ,110 mm,Qualcomm Snapdragon S4,1024,8,Yes,5,Yes,,"3.5 mm audio jack, Wi-Fi 802.11a/b/g/n, WiFi hotspot, DLNA, Bluetooth v4.0+
HS up to 21 Mbit/s, Micro-USB v2.0, USB OTG, NFC","Super AMOLED multi-touch capacitive touchscreen, 4G connectivity support 
(regional), S Voice"
Smartphone,Samsung,Galaxy Premier,11/1/12,4.1.2 with TouchWiz Nature UX UI,HD 1280x720,4.65 in ,118 mm,TI-OMAP 4470 Smart,1024,8 or 16,Yes,8,1.9,,"3.5 mm audio jack, Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi Direct, DLNA, 
Bluetooth v4.0+HS up to 21 Mbit/s, Micro-USB v2.0, USB OTG, NFC, HDMI","Super AMOLED multi-touch capacitive touchscreen, 4G connectivity 
(regional), S Voice"
Smartphone,Samsung,Galaxy Mega 5.8,ay 2013 (T,4.2.2 Jelly Bean with Touchwiz UI,540 x 960 pixels,5.8 in ,150 mm,Broadcom,1536 (1.5 GiB),8 or 16GB,microSDXC (up to 64 GB),8,1.9,,"Wi-Fi a/b/g/n/ac, WiFi Direct, BT 4.0 (BLE), USB 2.0 H/S GPSï_‹GLONASS",
Smartphone,Samsung,Galaxy Mega 6.3,ay 2013 (T,4.2.2 Jelly Bean with Touchwiz UI,720 x 1280 pixels,6.3 in ,160 mm,Qualcomm Snapdragon 400,1536 (1.5 GiB),8 or 16GB,microSDXC (up to 64 GB),8,1.9,,"NFC, MHL",
